Epoch,MAP,MRR,P@1,P@5
0,0.5427874638618598,0.6591478088188614,0.505376344086,0.408602150538
Epoch,MAP,MRR,P@1,P@5
1,0.5546133764626655,0.6767522473910418,0.548387096774,0.416129032258
Epoch,MAP,MRR,P@1,P@5
2,0.5594762253851157,0.6854964900062521,0.564516129032,0.413978494624
Epoch,MAP,MRR,P@1,P@5
3,0.5681040562561407,0.6888015205053052,0.569892473118,0.417204301075
Epoch,MAP,MRR,P@1,P@5
4,0.5642947496864674,0.6847693221182686,0.564516129032,0.417204301075
Epoch,MAP,MRR,P@1,P@5
5,0.5692938794504825,0.6891875442784262,0.569892473118,0.425806451613
Epoch,MAP,MRR,P@1,P@5
6,0.5691855675866245,0.6842188868904139,0.559139784946,0.425806451613
Epoch,MAP,MRR,P@1,P@5
7,0.5709283021465356,0.6967265954931988,0.575268817204,0.424731182796
Epoch,MAP,MRR,P@1,P@5
8,0.5730362957749094,0.6880283589486624,0.564516129032,0.422580645161
Epoch,MAP,MRR,P@1,P@5
9,0.5742305455990243,0.6953586533994504,0.575268817204,0.422580645161
